SampleID,Project,Amplicon,CollectionDate,SampleType,Pre_or_PostDentalChew,DogAgeMonths,OtherDogVariables,DogGender,DogBreed,DogSize,DogActivityLevel,DogDisposition,DogFixed,DogHealthProblems,DogHealthHistory,DogVaccinationsCurrent,DogFoodBrand,DogOralIssues,DogDentalChewUse,DogOtherAnimals,DogOtherAnimalType,DogCollectionCity
DM020-1,DogMouth,16S,2019-06-13,Sample,Pre,48,,F,CHIHUAHUA_DACHSHUND,M,Moderate,Friendly,Y,N,NA,Y,Kirkland,N,Y,Y,Dog,Spanish_Fork
DM018-2,DogMouth,16S,2019-09-09,Sample,Post,108,,F,CHIHUAHUA,M,Light,Protective,Y,Y,Patella_Luxation,Y,Natures_Recipe,Y,Y,N,NA,Orem
DM018-1,DogMouth,16S,2019-09-03,Sample,Pre,108,,F,CHIHUAHUA,M,Light,Protective,Y,Y,Patella_Luxation,Y,Natures_Recipe,Y,Y,N,NA,Orem
DM015-2,DogMouth,16S,2019-06-06,Sample,Post,36,,M,YORKSHIRE_TERRIER,M,Light,Hyper,Y,N,NA,N,Freshpet,N,N,Y,Cat,Orem
DM015-1,DogMouth,16S,2019-05-29,Sample,Pre,36,,M,YORKSHIRE_TERRIER,M,Light,Hyper,Y,N,NA,N,Freshpet,N,N,Y,Cat,Orem
DM012-2,DogMouth,16S,2019-05-27,Sample,Post,16,,F,SHIH_TZU,M,Light,Hyper,Y,Y,Frequent_UTI,Y,IAMS,N,N,N,NA,Provo
DM012-1,DogMouth,16S,2019-05-27,Sample,Pre,16,,F,SHIH_TZU,M,Light,Hyper,Y,Y,Frequent_UTI,Y,IAMS,N,N,N,NA,Provo
DM004-2,DogMouth,16S,2019-05-27,Sample,Post,72,,M,SHIH_TZU,M,Light,Friendly,Y,N,NA,Y,Kirkland,N,N,Y,Dog,Santaquin
DM004-1,DogMouth,16S,2019-05-27,Sample,Pre,72,,M,SHIH_TZU,M,Light,Friendly,Y,N,NA,Y,Kirkland,N,N,Y,Dog,Santaquin
DM001-2,DogMouth,16S,2019-05-27,Sample,Post,6,,F,BORDER_COLLIE,M,Extremely_Active,Hyper,N,N,NA,Y,Blue_Buffalo,N,N,Y,Dogs,Pleasant_Grove
DM001-1,DogMouth,16S,2019-05-27,Sample,Pre,6,,F,BORDER_COLLIE,M,Extremely_Active,Hyper,N,N,NA,Y,Blue_Buffalo,N,N,Y,Dogs,Pleasant_Grove
DM000-9,DogMouth,16S,2019-05-27,Treat,Control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Orem
DM000-8,DogMouth,16S,2019-05-27,Treat,Control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Orem
DM000-7,DogMouth,16S,2019-05-27,Treat,Control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Orem
DM000-6,DogMouth,16S,2019-05-27,Treat,Control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Orem
DM000-5,DogMouth,16S,2019-05-27,Treat,Control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Orem
DM000-4,DogMouth,16S,2019-05-27,Treat,Control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Orem
DM000-3,DogMouth,16S,2019-05-27,Treat,Control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Orem
DM000-2,DogMouth,16S,2019-05-27,Treat,Control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Orem
DM000-12,DogMouth,16S,2019-05-27,Treat,Control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,Orem
DM000-11,DogMouth,16S,2019-05-27,Treat,Control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Orem
DM000-10,DogMouth,16S,2019-05-27,Treat,Control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Orem
DM000-1,DogMouth,16S,2019-05-27,Treat,Control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Orem
